Designator,Footprint,Quantity,Value,LCSC Part #
ANT1,ESP32WROOM32D,1,ESP32-WROOM-32D,
"C1, C10, C13, C2, C3, C5",0805,6,10uF,
"C11, C4, C8",0805,3,100nF,
"C12, C6, C7",0805,3,0.1uF,
D1,0805,1,POWER_LED,
D4,0805,1,ESP_LED,
"D5, D6",D_SOD-123,2,D_Small,
F1,1206,1,Polyfuse,
"H1, H2, H3, H4",MountingHole_3.5mm_Pad_TopBottom,4,MountingHole_Pad,
IC2,SOIC127P600X175-14N,1,"74HC14D,653",
J3,SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm,1,LED_RING_PADS,
Q1,SOT65P230X110-6N,1,UMH3N,
Q2,SOT-23,1,AO3400A,
Q3,SOT-223-3_TabPin2,1,PZT2222A,
"R1, R12",0805,2,2K,
R10,0805,1,5K6,
R11,0805,1,50,
"R2, R8, R9",0805,3,10K,
"R3, R4",0805,2,5.1K,
S2,FSM2JRT,1,RESET,
SW3,SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm,1,MAIN_BUTTON,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U2,SOT-223-3_TabPin2,1,AMS1117-5.0,
U3,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
U4,TSSOP-16_4.4x5mm_P0.65mm,1,IP2721,
U5,TO-252-2,1,78D09LL-TN3-R,
USB1,HRO-TYPE-C-31-M-12,1,HRO-TYPE-C-31-M-12,
